Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Other ID,Integration,Owned By,Owned By
134237281,Update Customer Information,customer,1,28-Nov-16,11-Dec-16,feature,1,accepted,13-Nov-16,3-Dec-16,,enronglim,"As a staff member, I want to be able to update customer information that is in the database so that I can maintain the customer?€?s information to ensure their up to date.",https://www.pivotaltracker.com/story/show/134237281,,,Sharan,
135470053,Add Customer Information,customer,1,28-Nov-16,11-Dec-16,feature,1,accepted,3-Dec-16,4-Dec-16,,enronglim,"As a staff member, I want to be able to add new customer information into the database so that I can keep track of customer that use our services. ",https://www.pivotaltracker.com/story/show/135470053,,,Sharan,
134237283,Create Member Register,maintain customer,1,28-Nov-16,11-Dec-16,feature,2,accepted,13-Nov-16,4-Dec-16,,enronglim,Allow customer to register member in restaurant website,https://www.pivotaltracker.com/story/show/134237283,,,enronglim,
135470179,Transfer Stock,inventory,1,28-Nov-16,11-Dec-16,feature,1,accepted,3-Dec-16,6-Dec-16,,enronglim,"As a staff member, I want to be able to transfer stock so that I can set product that are in poor condition for disposal or to be disposed.",https://www.pivotaltracker.com/story/show/135470179,,,Sharan,enronglim
135470173,Update Stock Information,inventory,1,28-Nov-16,11-Dec-16,feature,1,accepted,30-Dec-16,6-Dec-16,,enronglim,"As a staff member, I want to be able to update stock details that are available in the database so that I can maintain and view the availability of the stock within each workshop.",https://www.pivotaltracker.com/story/show/135470173,,,Sharan,enronglim
135470167,Add Stock Information,inventory,1,28-Nov-16,11-Dec-16,feature,1,accepted,3-Dec-16,6-Dec-16,,enronglim,"As a staff member, I want to be able to add stock into the database so that I can add new product stock to the workshop to be used. ",https://www.pivotaltracker.com/story/show/135470167,,,Sharan,enronglim
135470153,Maintain Workshop Details,workshop,1,28-Nov-16,11-Dec-16,feature,1,accepted,3-Dec-16,6-Dec-16,,enronglim,"As a staff member, I want to be able to update the workshop details so that I can ensure that the details will be their up to date when the customer tries to find it",https://www.pivotaltracker.com/story/show/135470153,,,Sharan,enronglim
135470147,Add Workshop Location,workshop,1,28-Nov-16,11-Dec-16,feature,1,accepted,3-Dec-16,6-Dec-16,,enronglim,"As a staff member, I want to be able to add a new workshop location so that customer can find the closest workshop to use our services. ",https://www.pivotaltracker.com/story/show/135470147,,,Sharan,enronglim
135470135,Search Staff Member Information,staff,1,28-Nov-16,11-Dec-16,feature,1,accepted,3-Dec-16,6-Dec-16,,enronglim,"As a staff member, I want to be able to search registered staff members so that I can find or keep track of staff that in the company whenever I require it.",https://www.pivotaltracker.com/story/show/135470135,,,Sharan,enronglim
135474181,Update Customer information,"customer, staff",1,28-Nov-16,11-Dec-16,feature,1,accepted,3-Dec-16,6-Dec-16,,enronglim,"As a customer member, I want to be able to update my personal information that is in the database so that I can ensure that my information to ensure their up to date.

As a Management Staff Member, I want to be able to update certain details of customer members that are in the database ",https://www.pivotaltracker.com/story/show/135474181,,,enronglim,Sharan
134237285,Create space to insert images,,1,28-Nov-16,11-Dec-16,feature,2,accepted,13-Nov-16,6-Dec-16,,enronglim,allow to insert car workshop staff image into system,https://www.pivotaltracker.com/story/show/134237285,,,enronglim,
134237287,create categories,,1,28-Nov-16,11-Dec-16,feature,2,accepted,13-Nov-16,6-Dec-16,,enronglim,"design  car workshop system user interface category such as jobsheet, counter sales, payment",https://www.pivotaltracker.com/story/show/134237287,,,enronglim,
135477981,Search Counter Sales & Records,sales,1,28-Nov-16,11-Dec-16,feature,1,started,4-Dec-16,,,enronglim,"As a staff member, I want to be able to search counter sales records so that I can find or review the information of customer bills and payment records whenever I require it.",https://www.pivotaltracker.com/story/show/135477981,,,Sharan,enronglim
135477941,Add Billing Record,sales,1,28-Nov-16,11-Dec-16,feature,1,started,4-Dec-16,,,enronglim,"As a staff member, I want to be able to add billing records so that I can add inventory products into a customer?€?s billing record and save it into the database.",https://www.pivotaltracker.com/story/show/135477941,,,Sharan,enronglim
135477879,Check product availability,sales,1,28-Nov-16,11-Dec-16,feature,1,started,4-Dec-16,,,enronglim,"As a staff member, I want to be able to check availability of the product so that I can see if the available quantity of products to be added to the purchase form.",https://www.pivotaltracker.com/story/show/135477879,,,Sharan,enronglim
135470111,Update Staff Information,staff,1,28-Nov-16,11-Dec-16,feature,1,started,3-Dec-16,,,enronglim,"As a staff member, I want to be able to update my personal information that is in the database so that I can ensure that my information to ensure their up to date.

As a Management Staff Member, I want to be able to update certain details of staff members that are in the database so that I can maintain their company related statuses.",https://www.pivotaltracker.com/story/show/135470111,,,Sharan,enronglim
135470101,Add Staff Information,staff,1,28-Nov-16,11-Dec-16,feature,1,started,3-Dec-16,,,enronglim,"As a staff member, I want to be able to add new staff information into the database so that I can keep track of customer that use our services. ",https://www.pivotaltracker.com/story/show/135470101,,,Sharan,enronglim
135470087,Maintain Customer Loyalty Information,customer,2,12-Dec-16,25-Dec-16,feature,1,unstarted,3-Dec-16,,,enronglim,"As a staff member, I want to be able to maintain customer?€?s loyalty information so that I can record the number of times a customer uses our service.",https://www.pivotaltracker.com/story/show/135470087,,,Sharan,
135470067,Search Customer Information,customer,2,12-Dec-16,25-Dec-16,feature,1,unstarted,3-Dec-16,,,enronglim,"As a staff member, I want to be able to search registered customer so that I can find or keep track of customer information whenever I require it.",https://www.pivotaltracker.com/story/show/135470067,,,Sharan,
